COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
Japan,7,Public health measures,13
Japan,7,Movement restrictions,7
Japan,7,Social distancing,2
Japan,7,Governance and socio-economic measures,3
