COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
United Kingdom,7,Public health measures,24
United Kingdom,7,Movement restrictions,4
United Kingdom,7,Social distancing,11
United Kingdom,7,Lockdown,1
United Kingdom,7,Governance and socio-economic measures,2
