COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
Russia,7,Public health measures,15
Russia,7,Movement restrictions,5
Russia,7,Social distancing,8
Russia,7,Governance and socio-economic measures,2
