COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
Australia,7,Public health measures,26
Australia,7,Movement restrictions,15
Australia,7,Social distancing,11
Australia,7,Lockdown,4
Australia,7,Governance and socio-economic measures,9
