COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
China,7,Public health measures,18
China,7,Movement restrictions,6
China,7,Social distancing,2
China,7,Governance and socio-economic measures,4
