COUNTRY,DURATION(MONTHS),MAIN_MEASURES,COUNT_OF_INSTANCES
South Africa,7,Public health measures,7
South Africa,7,Movement restrictions,2
South Africa,7,Social distancing,3
South Africa,7,Lockdown,1
South Africa,7,Governance and socio-economic measures,5
